,tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score
0,BREAKDANCER,10,human,59,932,302,4120,4061,0.014320388349514563,0.05953582240161453,0.24473257698541329,0.023087455297008678
1,BREAKDANCER,100,human,562,429,713,4120,3558,0.13640776699029125,0.5671039354187689,0.6243432574430823,0.21991782117452735
2,BREAKDANCER,1000,human,670,321,888,4120,3450,0.16262135922330098,0.6760847628657921,0.7344913151364765,0.262179609474273
3,BREAKDANCER,10000,human,684,307,1244,4120,3436,0.16601941747572815,0.6902119071644803,0.8020631850419084,0.26765798943905483
4,DELLY,10,human,933,2158,1020,4120,3187,0.22645631067961164,0.3018440634098997,0.3209565764631844,0.25877131669382675
5,DELLY,100,human,2217,874,2307,4120,1903,0.5381067961165048,0.7172436104820447,0.7252436340773342,0.6148939071805831
6,DELLY,1000,human,2339,752,2522,4120,1781,0.5677184466019417,0.7567130378518279,0.7703115455100794,0.6487311003576736
7,DELLY,10000,human,2360,731,3791,4120,1760,0.5728155339805825,0.7635069556777742,0.8383458646616542,0.6545555352488123
8,GENOMESTRIP,100,human,434,137,534,4120,3686,0.10533980582524272,0.7600700525394045,0.7958271236959762,0.1850351715988212
9,GENOMESTRIP,1000,human,506,65,593,4120,3614,0.12281553398058252,0.8861646234676007,0.9012158054711246,0.21573225111278418
10,GENOMESTRIP,10000,human,514,57,774,4120,3606,0.12475728155339806,0.9001751313485113,0.9314079422382672,0.2191430377254467
11,clever,10,human,64,1368306,3802,4120,4056,0.015533980582524271,4.677097568640061e-05,0.0027709189072580294,9.326109323011798e-05
12,clever,100,human,1143,1367227,5512,4120,2977,0.27742718446601944,0.0008353003938993108,0.004015329935260818,0.001665585846051596
13,clever,1000,human,2714,1365656,53238,4120,1406,0.6587378640776699,0.001983381687701426,0.0375207732219602,0.0039548557132273125
14,clever,10000,human,4105,1364265,598114,4120,15,0.9963592233009708,0.002999919612385539,0.3047902571317773,0.005981828587346613
15,crest,100,human,2,4211,4237,4120,4118,0.0004854368932038835,0.00047472110135295516,0.5015388257575758,0.0004800142014428762
16,crest,1000,human,2115,2098,4335,4120,2005,0.5133495145631068,0.5020175646807501,0.673869112389243,0.5076202998128153
17,crest,10000,human,2149,2064,5930,4120,1971,0.5216019417475728,0.5100878234037503,0.7418063547660746,0.5157806262258718
18,deepvariant,10,human,1637,69864,1669,4120,2483,0.39733009708737865,0.022894784688326036,0.02333188877860568,0.04329485092883374
19,deepvariant,100,human,1870,69631,2237,4120,2250,0.4538834951456311,0.026153480370903905,0.031126509712250238,0.04945716034024063
20,deepvariant,1000,human,2119,69382,5251,4120,2001,0.5143203883495145,0.02963594914756437,0.07035761660391515,0.05604263262968402
21,deepvariant,10000,human,2927,68574,34932,4120,1193,0.7104368932038835,0.04093649039873568,0.3374876818735146,0.07741235797052849
22,gasv,100,human,4,217807,6807,4120,4116,0.000970873786407767,1.836454540863409e-05,0.030305323799941233,3.604687551769769e-05
23,gasv,1000,human,451,217360,8340,4120,3669,0.10946601941747573,0.0020706024948234938,0.03695170580416482,0.004064325935221794
24,gasv,10000,human,3321,214490,89733,4120,799,0.8060679611650485,0.015247163825518453,0.2949579749065652,0.02992822056913951
25,grom,10,human,620,1029,689,4120,3500,0.15048543689320387,0.3759854457246816,0.4010477299185099,0.2149419269278802
26,grom,100,human,1306,343,1377,4120,2814,0.3169902912621359,0.7919951485748938,0.8005813953488372,0.45276477317506336
27,grom,1000,human,1585,64,1708,4120,2535,0.38470873786407767,0.9611885991510006,0.963882618510158,0.5494886421298215
28,grom,10000,human,1594,55,2379,4120,2526,0.38689320388349513,0.9666464523953912,0.9774034511092852,0.5526087669348138
29,manta,10,human,2369,324,2400,4120,1751,0.575,0.8796880802079465,0.8810572687224669,0.6954351926360552
30,manta,100,human,2515,178,2554,4120,1605,0.6104368932038835,0.9339027107315262,0.9348462664714495,0.7382944323248855
31,manta,1000,human,2539,154,2662,4120,1581,0.6162621359223301,0.9428147047901968,0.9453125,0.7453397867942821
32,manta,10000,human,2545,148,3769,4120,1575,0.6177184466019418,0.9450427033048645,0.9622159816185857,0.7471011254116313
33,octopus,10,human,1955,433791,1984,4120,2165,0.47451456310679613,0.004486558683269611,0.004552808215248695,0.008889070576884324
34,octopus,100,human,2238,433508,3116,4120,1882,0.5432038834951456,0.005136019607753141,0.007136575176811169,0.010175826088790222
35,octopus,1000,human,2748,432998,19715,4120,1372,0.6669902912621359,0.006306426220779995,0.04354856167152257,0.01249471411377965
36,octopus,10000,human,3941,431805,199796,4120,179,0.9565533980582525,0.009044259729291836,0.31633262138596996,0.017919093356549037
37,popdel,10,human,1,1557,209,4120,4119,0.00024271844660194174,0.0006418485237483953,0.11834654586636467,0.000352232721085334
38,popdel,100,human,783,775,884,4120,3337,0.1900485436893204,0.5025673940949936,0.5328511151295962,0.2758013345174476
39,popdel,1000,human,1499,59,1574,4120,2621,0.3638349514563107,0.9621309370988447,0.9638701775872627,0.5280028139116004
40,popdel,10000,human,1508,50,2208,4120,2612,0.36601941747572814,0.9679075738125802,0.9778565101860053,0.5311729442391806
41,rdxplorer,10,human,9,57496,2439,4120,4111,0.002184466019417476,0.00015650812972784975,0.040694085259030614,0.0002920880017730064
42,rdxplorer,100,human,712,56793,2688,4120,3408,0.17281553398058253,0.012381532040692114,0.045190901296212234,0.023107503823268757
43,rdxplorer,1000,human,2036,55469,3969,4120,2084,0.4941747572815534,0.03540561690287801,0.06677546350819341,0.06607707785977987
44,rdxplorer,10000,human,2789,54716,27852,4120,1331,0.6769417475728156,0.04850013042344144,0.3373219649258793,0.0905152117340192
45,smoove,10,human,172,170,215,4120,3948,0.04174757281553398,0.5029239766081871,0.5584415584415584,0.07709547146666679
46,smoove,100,human,279,63,320,4120,3841,0.06771844660194175,0.8157894736842105,0.835509138381201,0.12505602727123874
47,smoove,1000,human,312,30,355,4120,3808,0.07572815533980583,0.9122807017543859,0.922077922077922,0.1398476005567609
48,smoove,10000,human,315,27,471,4120,3805,0.07645631067961164,0.9210526315789473,0.9457831325301205,0.1411922890372629
49,tardis,10,human,140,663,239,4120,3980,0.03398058252427184,0.17434620174346202,0.26496674057649666,0.05687588595563236
50,tardis,100,human,693,110,733,4120,3427,0.16820388349514562,0.863013698630137,0.8695136417556346,0.28153564626438704
51,tardis,1000,human,781,22,843,4120,3339,0.18956310679611652,0.9726027397260274,0.9745664739884393,0.3172862048668653
52,tardis,10000,human,788,15,1166,4120,3332,0.1912621359223301,0.9813200498132005,0.9872988992379339,0.32012999930115327
53,GENOMESTRIP,10,human,0,571,496,4120,4120,0.0,0.0,0.46485473289597,0.0
54,gasv,10,human,0,217811,6781,4120,4120,0.0,0.0,0.0301925268932108,0.0
55,crest,10,human,0,4213,4234,4120,4120,0.0,0.0,0.5012430448680004,0.0
56,svpred,10,human,0,0,0,0,0,0.5885922330097088,0.6968390804597702,0,0.6381578947368423
57,svpred,100,human,0,0,0,0,0,0.7240291262135923,0.857183908045977,0,0.785
58,svpred,1000,human,0,0,0,0,0,0.7480582524271845,0.885632183908046,0,0.8110526315789474
59,svpred,10000,human,0,0,0,0,0,0.7516990291262136,0.8899425287356322,0,0.815
60,jasmine,10,human,0,0,0,0,0,0.6155339805825243,0.6593863754550182,0,0.6367060005021342
61,jasmine,100,human,0,0,0,0,0,0.7002427184466019,0.750130005200208,0,0.7243283956816471
62,jasmine,1000,human,0,0,0,0,0,0.7262135922330097,0.7779511180447218,0,0.751192568415767
63,jasmine,10000,human,0,0,0,0,0,0.7313106796116505,0.7834113364534582,0,0.7564649761486317
64,surv,10,human,0,0,0,0,0,0.45169902912621357,0.896867469879518,0,0.6008071025020177
65,surv,100,human,0,0,0,0,0,0.48325242718446604,0.9595180722891566,0,0.6427764326069411
66,surv,1000,human,0,0,0,0,0,0.4929611650485437,0.9787951807228915,0,0.6556900726392252
67,surv,10000,human,0,0,0,0,0,0.49393203883495146,0.980722891566265,0,0.6569814366424536
,parl,10,human,0,0,0,0,0,0.5814021707245527 , 0.136586038177934 , 0, 0.22120535714285716
,parl,100,human,0,0,0,0,0,0.7923144617189791 , 0.1861346564675074 , 0, 0.3014508928571429
,parl,1000,human,0,0,0,0,0,0.9008506893517161 , 0.2116325546137413 ,0, 0.3427455357142858
,parl,10000,human,0,0,0,0,0,0.9571721912584336 , 0.2248638963544897 , 0,0.36417410714285714

