,tool,threshold,strain,sensitivity,precision,f-score
0,DELLY,10,human,0.031366120218579235,0.750817527795945,0.06021663300899578
1,DELLY,100,human,0.03934426229508197,0.9417920209287116,0.07553305882661493
2,DELLY,1000,human,0.040327868852459016,0.9653368214519293,0.07742138529728027
3,DELLY,10000,human,0.04076502732240437,0.9758011772400261,0.0782606415064649
4,Parliament2,10,human,0.03778688524590164,0.603139991277802,0.07111819607641477
5,Parliament2,100,human,0.0509016393442623,0.812472743131269, 0.0958013010053223
6,Parliament2,1000,human,0.053579234972677595,0.8552115133013519,0.10084076826164091
7,Parliament2,10000,human,0.05562841530054645,0.8879197557784562,0.10469750340678272
8,manta,10,human,0.03871584699453552,0.706028898854011,0.07340637708187635
9,manta,100,human,0.051721311475409835,0.9431988041853513,0.09806511772476494
10,manta,1000,human,0.05341530054644809,0.974090682610862,0.10127697049757815
11,manta,10000,human,0.05382513661202186,0.9815645241654211,0.10205403165229104
12,transIndel,10,human,0.027950819672131148,0.8864818024263431,0.05419293319913122
13,transIndel,100,human,0.030109289617486337,0.9549393414211439,0.058377920220374
14,transIndel,1000,human,0.030546448087431694,0.9688041594454073,0.05922551252847381
15,transIndel,10000,human,0.030737704918032786,0.9748700173310225,0.05959633416326746
16,VISTA,10,human,0.046311475409836066,0.536222714330908,0.08525942506476196
17,VISTA,100,human,0.06300546448087432,0.7295159759569756,0.115993058524685
18,VISTA,1000,human,0.06622950819672131,0.7668459348307498,0.12192852292447373
19,VISTA,10000,human,0.0709016393442623,0.8209427396393546,0.13052991624959132